Name,ID,Publisher Name,Publisher ID,Date,Platform,Category,Downloads (Absolute),Downloads (PoP Growth),Downloads (PoP Growth %),Revenue (Absolute),Revenue (PoP Growth),Revenue (PoP Growth %),DAU (Absolute),DAU (PoP Growth),DAU (PoP Growth %),Downloads First 30 Days (WW),Most Popular Country by Downloads,"RPD (All Time, WW)",Game Art Style,Game Theme,Game Genre,Game Setting
Bus Frenzy - Traffic Jam,66c54ba540b87c7cbeb77b82,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,36209614,36209614,,2113455.05,2113455.05,,371648,371648,,2001315,India,$0.06 ,Hypercasual,Vehicles - Bus,Puzzle,N/A
Christmas: Unscrew Nuts Sort®,66e25c696665b3a96e14ed29,Pleasure City,63768eb6d42f2337ca2d36da,2023/12/3,Unified,Games,35324711,35324711,,137644.28,137644.28,,706799,706799,,1987790,India,$0.00 ,Hypercasual,Hypercasual,Puzzle,N/A
Color Fill 3D,5d3125223ea98338ea2d8a2b,Azur Interactive Games,592cc9f811f9436cc900106f,2023/12/3,Unified,Games,28634715,-3919995,-0.120413,28424.32,17575.08,1.619937,420829,-266981,-0.388161,20242814,India,$0.00 ,Hypercasual,Abstract,Puzzle,N/A
Crossword Master - Word Puzzle,662fcc3aad4adb6e01dff3f3,Miniclip,65670b56ad4adb650837a435,2023/12/3,Unified,Games,26935631,26935631,,703227.48,703227.48,,515884,515884,,531693,India,$0.03 ,Flat,Tabletop,Puzzle,N/A
Fashion Makeup:Dress Up Show,65470895d6dd1a216deadb1e,Deer Hunting And Shooting Game,620ff1a4ab9d2c37b9d52aab,2023/12/3,Unified,Games,23830570,23806157,975.142629,3851.12,3796.61,69.649789,424566,424514,8163.730769,25293,India,$0.00 ,2D Realistic,Fashion / Aesthetics / Hair,Lifestyle,Modern
Sky Roller: Rainbow Skating,5d71f9003cf27a0218ed3904,Homa,5aa808e60343f831cb01ec03,2023/12/3,Unified,Games,20679634,-20080036,-0.492645,90332.78,-139226.7,-0.606495,129515,-247839,-0.656781,6589952,Brazil,$0.00 ,Hypercasual,Sports - Alternative,Arcade,N/A
Hole Em All: Black Hole Games,678c6e67faf394f86f33172c,Brainworks Publishing,63cee0f74fbc9029e789d783,2023/12/3,Unified,Games,18751545,18751545,,4555382.17,4555382.17,,207067,207067,,499304,India,$0.24 ,Hypercasual,Hypercasual,Arcade,N/A
Mystical Mixing,62817ed4b3ae2711a4dfc11d,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,17651896,-11014859,-0.384238,110173.31,110059.24,964.839485,798831,325810,0.688785,14903,Brazil,$0.00 ,3D Cartoon,Magic,Arcade,Cartoon Fantasy
Drawing Carnival,639c9358b3ae277da5560373,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,16014723,-8818797,-0.355117,550.58,-104.43,-0.159433,557315,323063,1.379126,673753,Brazil,$0.00 ,2D Cartoon,Bubbles / Tiles / Colors,Tabletop,N/A
Dream Wedding: Dress & Impress,61fe9c3098e28872589554ba,MagicLab,55f893408ac350426b03749e,2023/12/3,Unified,Games,15635480,-48013060,-0.754347,2363.55,653.93,0.3825,148184,-273133,-0.648284,2792829,India,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Arcade,N/A
L.O.L. Surprise! Disco House,60c1f8d6ece0985a157f6b3f,APIX Educational Systems,5604907d8ac3501722009509,2023/12/3,Unified,Games,15607511,-1416602,-0.083212,396749.18,-186664.26,-0.319952,118356,-28398,-0.193508,1292113,US,$0.03 ,2D Cartoon,Family / Baby,Lifestyle,Cartoon Fantasy
Order please! -Draw&Story game,627dafae2c820422b8274b92,Tokyo Communications Group,5b055f0fe94e9b53cee0e5c3,2023/12/3,Unified,Games,15503635,1001181,0.069035,1235.31,-1045.87,-0.458478,162694,72605,0.805925,1399636,India,$0.00 ,Hypercasual,Cooking / Food,Simulation,N/A
Beauty Makeover - Makeup Game,6392c9b350e76c35cdee8091,Gloryway Puzzle Hub,6836edacc8b1f059a935e87e,2023/12/3,Unified,Games,15080703,11031819,2.724657,16614.49,14312.92,6.218764,144701,127067,7.205796,81436,Brazil,$0.00 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,Modern
Girls Nail Salon - Nail Games,64bb55c9ccc2ec53931cdc6a,Bravestars,594825d017ddb671190015b5,2023/12/3,Unified,Games,14933116,14018338,15.324306,0,0,,73416,69734,18.939163,172799,Russia,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Lifestyle,N/A
Dancing Cats - Cute Music Game,6478af91fb78630c1656ef36,Cobby Labs,62cc7d361c2ed43e97fbcb41,2023/12/3,Unified,Games,13798871,-11823552,-0.461453,207.07,-11210.33,-0.981864,399959,226851,1.310459,1720534,Russia,$0.00 ,Neon,Music,Arcade,N/A
Coloring and Drawing For Kids,64ae1ac33abec76bfccefa46,Toy Tap,67c0ce9df004e612303cbe4b,2023/12/3,Unified,Games,13797498,13188828,21.668273,4677.7,4677.7,,219759,217982,122.668542,415299,Brazil,$0.00 ,Flat,Art,Tabletop,N/A
Tie Dye,5ee13525f495754a5614d322,Embracer Group,560494718ac35017220101d4,2023/12/3,Unified,Games,13673727,-26937794,-0.663304,6544.29,-8155.79,-0.554813,116582,-357461,-0.754069,19899544,Brazil,$0.00 ,3D Cartoon,Art,Lifestyle,N/A
Solitaire Grand Harvest,594990020211a674a00013c6,Playtika,5614c22f3f07e25d290063a9,2023/12/3,Unified,Games,13457736,-5153955,-0.27692,356348820.4,-38667565.77,-0.097889,435107,-355548,-0.449688,92384,US,$14.55 ,2D Cartoon,Tabletop,Tabletop,Modern
Glitter Beauty Color For Kids,65ebc26ac21b4c4036edb7af,JoyCraze,6501e3dda649884ccbc1fe02,2023/12/3,Unified,Games,11759710,11759710,,253.82,253.82,,162153,162153,,6209,India,$0.00 ,2D Cartoon,Art,Tabletop,N/A
Airport Life 3D,602b3cf1b61c510799f485af,SayGames,5bb5a48345f4430ad72c6f04,2023/12/3,Unified,Games,11254003,-1366773,-0.108295,0,0,,41427,-12419,-0.230639,3930957,India,$0.00 ,Hypercasual,Hypercasual,Simulation,Modern
Urban City Stories: World Game,5ea41dd05c6ace0a9d6e9689,SUBARA,61f2ebbee19921331fedae2f,2023/12/3,Unified,Games,11110562,-11781921,-0.514663,54516.87,-376040.73,-0.873381,51307,-56685,-0.5249,1793805,Brazil,$0.02 ,3D Cartoon,Sandbox,Simulation,Modern
Bus Jam,64998f879db92b7adfa0f490,Take-Two Interactive,5614b32f3f07e2077c000488,2023/12/3,Unified,Games,10935232,6715722,1.591588,10067861.56,10038502.86,341.926,286836,267512,13.843511,2407,India,$0.67 ,Hypercasual,Hypercasual,Puzzle,N/A
Brain Puzzle 2: Logic Twist,682e9d6e255379e5a33229ea,JoyGame Studio,67f7fbf88e611327995b9574,2023/12/3,Unified,Games,10866001,10866001,,0,0,,36898,36898,,90216,Indonesia,$0.00 ,2D Cartoon,Hypercasual,Puzzle,Modern
Chainsaw Juice King: Idle Shop,64a79ec03b29874eab9f152f,SayGames,5bb5a48345f4430ad72c6f04,2023/12/3,Unified,Games,10816169,10816169,,3550954.26,3550954.26,,90014,90014,,3419360,Brazil,$0.33 ,2D Cartoon,Business,Simulation,Cartoon Fantasy
Find Easy - Hidden Differences,643d7eaed4ba7043a74864ba,Azur Interactive Games,592cc9f811f9436cc900106f,2023/12/3,Unified,Games,10798004,10480729,33.03358,23982.12,23095.84,26.059304,214863,213727,188.139965,404,Indonesia,$0.00 ,2D Cartoon,Spot The Difference,Puzzle,N/A
Gold Rush: Frozen Adventures,666b2db4e98cb3c5bbf5b74d,SayGames,5bb5a48345f4430ad72c6f04,2023/12/3,Unified,Games,10327929,10327929,,1223039.54,1223039.54,,129911,129911,,2239103,India,$0.12 ,3D Cartoon,City Building,RPG,Sci-Fi
Destiny Run,60dde09994c2cf495780db57,Voodoo,59bad4eb63f2dc0d0b9689e1,2023/12/3,Unified,Games,10178080,-44713391,-0.814578,597.97,-3374.76,-0.849481,79028,-439167,-0.847494,99719,Brazil,$0.00 ,Hypercasual,Hypercasual,Arcade,N/A
Island Hoppers: Farm Adventure,5f478c09630f0049d86e01c8,Nexters,560499ef8ac350172201563f,2023/12/3,Unified,Games,10156881,-3104360,-0.234093,21059092.08,597359.49,0.029194,183099,43970,0.316038,17323,India,$1.76 ,2D Cartoon,Treasure Hunter,Simulation,Modern
Sweet Home Stories,58b3d1fd0211a6f3ce0011d5,SUBARA,61f2ebbee19921331fedae2f,2023/12/3,Unified,Games,9802914,-386333,-0.037916,43746.19,-65602.06,-0.599937,69712,6797,0.108035,227996,Brazil,$0.02 ,3D Cartoon,Family / Baby,Lifestyle,Modern
Words of Wonders: Search,5da94eb62abc89451f922c06,Fugo Games,5628919a02ac648b280040aa,2023/12/3,Unified,Games,9750354,-1979492,-0.168757,264423.38,-85432.95,-0.244194,125068,-30681,-0.19699,95905,Brazil,$0.03 ,Flat,Tabletop,Puzzle,N/A
Solitaire,5f0285880d59dc2f61898c2d,Solitaire Aquarium,61f4422d35722d7c19ad8829,2023/12/3,Unified,Games,9642426,607939,0.067291,531986.67,-500993.93,-0.484998,212149,9277,0.045728,132260,US,$0.09 ,2D Realistic,Tabletop,Tabletop,N/A
Dress Up! Shining Anime Star,63f037826f8b604e0d6fb989,31 Dress Up Games,5f4023fc00fe7e113bc75de6,2023/12/3,Unified,Games,9232921,-303440,-0.031819,14042.15,9080.39,1.830074,1261042,1002437,3.876325,956038,Indonesia,$0.00 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,N/A
Stuff Sort - Sorting Master,647878e924ceaa4591823fc3,Onetap Global,66e49e03ef947792202cd239,2023/12/3,Unified,Games,8870881,4632718,1.093096,489695.64,408916.98,5.062191,344406,310814,9.25262,672778,India,$0.04 ,Hypercasual,Hypercasual,Puzzle,N/A
Color Water Sort Wooden Puzzle,6389823f16140f7a8c2730a7,Kim Chinh Nguyen Thi,62d0d5b6b3ae277089b17654,2023/12/3,Unified,Games,8742906,5568132,1.753867,52821.78,41572.75,3.695674,431292,387889,8.936917,508,US,$0.01 ,Flat,Bubbles / Tiles / Colors,Puzzle,N/A
Tidy Master®:Hidden Objects,65b47e8697d58b55ef62f161,Joymaster Studio,6525af28ead1220e96d8c834,2023/12/3,Unified,Games,8327772,8327772,,5187.69,5187.69,,284879,284879,,80889,US,$0.00 ,2D Cartoon,Tabletop,Puzzle,Modern
Antistress Relax Relief Games,5e547d31005185350838001c,DobroApps,5d5c9fc8aabaf93045ae5945,2023/12/3,Unified,Entertainment,8283882,6138615,2.861469,465.96,-881.32,-0.654148,32964,14075,0.745143,31229,Brazil,$0.00 ,Hypercasual,Hypercasual,Lifestyle,N/A
Kids Coloring Pages & Book,614d2399c01f916649b88eb0,IDZ Digital,5614b77d3f07e25d29001322,2023/12/3,Unified,Games,8213243,6040510,2.780144,1908.26,-1411.89,-0.425249,171448,136801,3.948423,14,India,$0.00 ,2D Cartoon,Art,Tabletop,N/A
Hexa Master 3D - Color Sort,65b998072185f26be8a22f07,Poker City,56289e3102ac6486a700d6ad,2023/12/3,Unified,Games,8150798,8150798,,1707302.21,1707302.21,,211725,211725,,223566,US,$0.21 ,Flat,Abstract,Puzzle,N/A
Cooking Big - Restaurant Game,66e0e4eef3c85d413711920b,Playful Tap,6390e76b86be5909f5c17861,2023/12/3,Unified,Games,7854284,7854284,,17466.98,17466.98,,43004,43004,,139564,India,$0.00 ,2D Cartoon,Cooking / Food,Simulation,Modern
Pepi Wonder World: Magic Isle!,5bd26a532563b6459ade4d1e,Pepi Play,560c48a28ac350643900b560,2023/12/3,Unified,Games,6808660,-12149507,-0.640859,256564.36,-169326.7,-0.397582,50074,-78858,-0.611625,577372,Russia,$0.03 ,2D Cartoon,Sandbox,Lifestyle,High Fantasy
Water Sort : Puzzle Offline,62454a74e5fc636948715ff7,CristalEvo,61eccf3e5b48351d214b1d30,2023/12/3,Unified,Games,6778788,6601200,37.171431,821.8,786.92,22.56078,89316,88433,100.150623,0,India,$0.00 ,Hypercasual,Abstract,Puzzle,N/A
FunCrush,655139dcebfdf72481c3f087,FunAward,656a38caa546ab22c176b412,2023/12/3,Unified,Games,6431652,6327726,60.886843,0,0,,196022,195811,928.014218,220318,Philippines,$0.00 ,2D Cartoon,Candy / Dessert,Puzzle,Cartoon Fantasy
Popular Words: Family Game,6393e6055c18337f0a0e513e,Unico Studio,5cec389405a5de78e6a8b627,2023/12/3,Unified,Games,6352656,71939,0.011454,195294.11,-12407.97,-0.059739,214459,152047,2.436182,107584,Turkey,$0.03 ,2D Cartoon,Tabletop,Puzzle,Modern
SpongeBob: Get Cooking,633325bdad4adb030a59b731,Netflix,5614b80f3f07e25d290016a7,2023/12/3,Unified,Games,6135151,-422482,-0.064426,14209.13,9036.29,1.746872,293399,197083,2.046212,671558,Brazil,$0.00 ,2D Cartoon,Entertainment Mascot,Simulation,Cartoon Fantasy
Yasa Pets Hospital,5ccb99de8780182d6f20579a,Yasa Pets,65ef5dc23811e913df4566bb,2023/12/3,Unified,Games,6058009,-21273305,-0.778349,2772.42,2772.42,,44048,-113593,-0.72058,463883,Brazil,$0.00 ,2D Cartoon,Medical / Emergency Services,Lifestyle,Cartoon Fantasy
Panda Game: Mix & Match Colors,5ebd1dc25c6ace58418459a3,BabyBus,5614c2823f07e25d29006806,2023/12/3,Unified,Games,5989007,4356842,2.669364,1264.15,566.78,0.812739,28484,14567,1.046705,974671,India,$0.00 ,2D Cartoon,Art,Tabletop,Cartoon Fantasy
"Baby games for toddlers, kids",591e3fa00211a6b98e001212,Bimi Boo Kids,5752c84c000f665727001dc7,2023/12/3,Unified,Games,5912037,-2340881,-0.283643,185814.09,-135410.25,-0.421544,118771,-32342,-0.214025,66180,Russia,$0.06 ,,,,
Pepi Hospital 2: Flu Clinic,6401481ba74d7f3ee64bf121,Pepi Play,560c48a28ac350643900b560,2023/12/3,Unified,Games,5894966,-6639482,-0.529699,60170.25,-3029.05,-0.047929,1019492,780130,3.259206,417967,Russia,$0.00 ,2D Cartoon,Medical / Emergency Services,Simulation,Sci-Fi
Cozy Knitting: Sorting games,6402bd5fb3ae2773a527a90c,Freeplay,6838add143283a86a3f8120d,2023/12/3,Unified,Games,5869114,3614187,1.602796,3536.44,3076.72,6.692595,151334,133865,7.663003,332290,India,$0.00 ,Hypercasual,Art,Puzzle,N/A
My Town Home: Family Playhouse,558cac45f789f2e8ce03532e,My Town Games,55f896128ac350426b04545d,2023/12/3,Unified,Games,5783676,-15701516,-0.730806,440763.94,139074.55,0.460986,39002,-163331,-0.807239,73494,Brazil,$0.01 ,2D Cartoon,Family / Baby,Lifestyle,Modern
Cute Color - Color by Number,65ea6ca97cbed95136fbbd49,Mint Games,562956a73f07e28dd10275ee,2023/12/3,Unified,Games,5769746,5769746,,21204.36,21204.36,,126396,126396,,50048,Brazil,$0.00 ,Flat,Art,Tabletop,N/A
My City : My Friend's House,5e65d676ca4c1063a75892c8,My Town Games,55f896128ac350426b04545d,2023/12/3,Unified,Games,5707417,-11974370,-0.677215,3798.88,-36745.25,-0.906303,25277,-59749,-0.702714,9954,Brazil,$0.01 ,2D Cartoon,Decoration,Lifestyle,Modern
Jigsaw Art® - Puzzle Art Games,649024b692c4bb3de57ab636,Guru Puzzle Game,61dc87b7c64c2403403a4e61,2023/12/3,Unified,Games,5290581,4178399,3.756938,37854.47,33831.89,8.410495,147124,140426,20.965363,71794,India,$0.00 ,2D Cartoon,Art,Puzzle,N/A
Fashion Battle - Catwalk Queen,620cb27589020f42b7df32c8,browmbeebear,620cb27589020f42b7df32c7,2023/12/3,Unified,Games,5152435,-21737477,-0.808388,0,-64.66,-1,43180,-120599,-0.736352,107198,Brazil,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Simulation,N/A
MergeCrafter Magic Merge World,5e323013cebc4a49bcb6a342,Fiveamp,562951093f07e236f9064e19,2023/12/3,Unified,Games,4985088,2098633,0.727062,15013.5,-17330.26,-0.535815,51502,22184,0.756668,343440,Indonesia,$0.00 ,Voxel,Magic,Puzzle,High Fantasy
DIY Lunch Box: Organize Game,675510989d055fdd9b4f8e31,HORIZON Studios,661458c40c3b28443c2d8248,2023/12/3,Unified,Games,4242015,4242015,,194.66,194.66,,168209,168209,,906491,Indonesia,$0.00 ,Hypercasual,Cooking / Food,Puzzle,Modern
Bubble Witch 3 Saga,572e371755b6d70837000111,Microsoft,5628910002ac648b28002389,2023/12/3,Unified,Games,4211735,-11626972,-0.734086,21419119.16,-27049981.67,-0.558087,249898,-514594,-0.673119,16888894,Brazil,$2.50 ,2D Cartoon,Magic,Puzzle,High Fantasy
Cute Animal Onet - Kids Games,64c34478f199ea0b29c28aee,WizSprint,6502e63eb9641522478854b6,2023/12/3,Unified,Games,4154374,4139845,284.936678,0,0,,97775,97688,1122.850575,0,Indonesia,$0.00 ,2D Cartoon,Animal - Zoo / Other,Puzzle,Cartoon Fantasy
Merge Prison : hidden puzzle,64d5b9edff1e1b45929f3dfe,Blue Ultra Game,5dc0810da9b800490482647f,2023/12/3,Unified,Games,3968986,3962180,582.159859,20808626.58,20807466.42,17934.99726,71548,71507,1744.073171,373319,US,$5.23 ,2D Cartoon,Crime,Puzzle,Modern
Masha and the Bear: Salon Game,59e958817a65eb08bdcfd151,DTC Lab,64520429fd0a1f20a5ffd3c6,2023/12/3,Unified,Games,3930834,-12866713,-0.765988,43631.2,24352.64,1.263198,89274,-81062,-0.475895,1235706,Brazil,$0.00 ,2D Cartoon,Fashion / Aesthetics / Hair,Simulation,Cartoon Fantasy
Doll Makeover - DIY 3D Dolly,6124a10c04b75e1025811ab5,Altplay,661836908b200d7fa7a080a9,2023/12/3,Unified,Games,3731483,-13712353,-0.786086,0,0,,269692,88080,0.48499,62080,India,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Lifestyle,N/A
Block Puzzle: Combo Mania!,663865b41277571346a1c223,Crazy Maple Studio,58f9d16a5909053556000397,2023/12/3,Unified,Games,3649624,3649624,,718.44,718.44,,35781,35781,,23524,Brazil,$0.00 ,2D Cartoon,Bubbles / Tiles / Colors,Puzzle,N/A
Brain Boom: Word Brain Games,5fa3cf45ec1eca410fc70650,Kerun Games,5be64738aaeb8366a74502b0,2023/12/3,Unified,Games,3592791,-1014827,-0.22025,8208.21,-29410.45,-0.781805,42332,-20705,-0.328458,32029,India,$0.00 ,2D Cartoon,Tabletop,Puzzle,N/A
Pixel by Color: Pixel Art,661cdbd5ad4adb37c0ad476b,GPLAY,62c8e5789cc77c70c0a77cac,2023/12/3,Unified,Games,3565765,3565765,,79.67,79.67,,81684,81684,,1696570,Mexico,$0.00 ,Pixel,Art,Tabletop,N/A
Seekers Notes: Hidden Objects,55d940c102ac645ad2174087,Mytona,633c86565b8c0124d6eebd01,2023/12/3,Unified,Games,3377752,-2987679,-0.46936,66381361.99,-1949393.97,-0.028529,42866,-42022,-0.495029,50924,US,$8.81 ,2D Realistic,Tabletop,Puzzle,Historical
Masala Express: Cooking Games,5927a549433b2e7f8f006f6e,Medha Edutainment,55f8954f8ac350426b041937,2023/12/3,Unified,Games,3346347,-1322773,-0.283302,7616.69,-3775.74,-0.331425,44035,-22327,-0.336443,179090,India,$0.01 ,2D Cartoon,Cooking / Food,Simulation,Modern
Township,55c50ce502ac64f9c0002364,Playrix,5614b8de3f07e25d29001b9e,2023/12/3,Unified,Games,159006303,37534397,0.308997,945592880.5,271373703.7,0.402501,8184472,98407,0.01217,1727408,India,$3.92 ,3D Cartoon,Farming,Simulation,Modern
Fruit Merge™: Match Game,654e29ffb3ae273eb613df9f,Bravestars,594825d017ddb671190015b5,2023/12/3,Unified,Games,77434527,77109468,237.216838,3480745.76,3480745.76,,1472979,1470184,526.005009,3379707,India,$0.05 ,Hypercasual,Candy / Dessert,Puzzle,N/A
SAKURA School Simulator,5bbee731404f1f1cd0f29bc5,Garusoft,64d41e7f66b3572f6f5e617b,2023/12/3,Unified,Games,66835141,6464328,0.107077,0,0,,3798381,-341600,-0.082512,474684,Indonesia,$0.00 ,3D Anime,School,Simulation,Modern
Annoying Puzzle Game,668663a4be6131917117f93e,GPLAY,62c8e5789cc77c70c0a77cac,2023/12/3,Unified,Games,51523029,51523029,,29210.85,29210.85,,524418,524418,,1210469,Vietnam,$0.00 ,2D Anime,Hypercasual,Puzzle,N/A
Family Life,648d118246f3bc3b40963c5b,ironSource,55f8912b8ac350426b02ddcf,2023/12/3,Unified,Games,36023570,34719324,26.620227,1840522.06,1796632.29,40.935104,371606,367015,79.942278,2420,Russia,$0.05 ,2D Cartoon,Family / Baby,Lifestyle,Modern
WildCraft: Animal Sim Online,5a68f22709b90f36e22b4d40,Turbo Rocket Games,5604a4d78ac3501722022f81,2023/12/3,Unified,Games,35563255,5261177,0.173624,3043299.46,-2013871.38,-0.398221,363739,-106343,-0.226222,930109,Brazil,$0.13 ,3D Realistic,Animal - Zoo / Other,Simulation,Modern
Fluvsies - A Fluff to Luv,5e7d6501cdfcdf4ad613949e,APIX Educational Systems,5604907d8ac3501722009509,2023/12/3,Unified,Games,31399359,-8381837,-0.210698,1829796.5,527475.06,0.405027,400378,-195312,-0.327875,3714169,India,$0.03 ,2D Cartoon,Chibi Creature,Simulation,Cartoon Fantasy
Bubbu 2 - My Pet Kingdom,654f64e58c817d7421d9b023,Bubadu,560c49668ac350643900cc01,2023/12/3,Unified,Games,30155116,30136436,1613.299572,129902.38,129893.99,15482.00119,717834,717775,12165.67797,2112738,Indonesia,$0.00 ,2D Cartoon,Animal - Cat,Lifestyle,Cartoon Fantasy
Goods Group™ - Sort Game,6545ddadd6dd1a0e9d45da7b,FlyDogGame,65bc0e9b53445f1f4b98a5c1,2023/12/3,Unified,Games,26135664,26057710,334.270339,601006.5,601006.5,,1046461,1046183,3763.248201,71326,India,$0.02 ,Hypercasual,Shopping,Puzzle,N/A
Farm Heroes Saga,55d3a1a802ac64350a000cde,Microsoft,5628910002ac648b28002389,2023/12/3,Unified,Games,24156749,-21415675,-0.469926,132617228.8,-6913552.38,-0.049549,2061848,-963006,-0.318364,9859440,Brazil,$2.45 ,2D Cartoon,Farming,Puzzle,N/A
The Ink Shop - Tattoo Art ASMR,65ebfef153373321d34c6757,Bravestars,594825d017ddb671190015b5,2023/12/3,Unified,Games,23971214,23971214,,291.3,291.3,,417029,417029,,522194,India,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Simulation,Modern
Yoga Workout,621721193a75701d9ee8823f,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,22952691,-11537778,-0.334521,2140.18,1518.66,2.443461,224036,-34000,-0.131765,1719794,Brazil,$0.00 ,Hypercasual,Hypercasual,Sports,Modern
Magic Sort!,662dcccbf7baf07a73491020,Grand Games,667eca2699303115f86f8deb,2023/12/3,Unified,Games,21287815,21287815,,45701046.56,45701046.56,,262780,262780,,31164,US,$2.15 ,Hypercasual,Hypercasual,Puzzle,N/A
Role Swap: Tricky Puzzle,65c6b7f30dd7517d2e508e82,MegaJoy Games Studio,61d39e14f349240c0c467620,2023/12/3,Unified,Games,20384151,20384151,,0,0,,343021,343021,,5238,Russia,$0.00 ,2D Cartoon,Hypercasual,Puzzle,N/A
Car coloring games - Color car,63a3af3583061f6d7e0c8d93,WizSprint,6502e63eb9641522478854b6,2023/12/3,Unified,Games,19520871,14691105,3.041784,0,0,,408558,387113,18.051434,3899,India,$0.00 ,2D Cartoon,Vehicles - Car,Tabletop,N/A
Balloon Master 3D-Puzzle Games,6547a800b3ae27174303ff07,Poker City,56289e3102ac6486a700d6ad,2023/12/3,Unified,Games,18247691,18225276,813.083917,2050965.64,2050965.64,,356454,356374,4454.675,36589,US,$0.11 ,3D Cartoon,Hypercasual,Puzzle,N/A
Mask Mixture: ASMR Makeover,64a36df09539b60ed4fe00e1,Onesoft,5b6de3cab80f52168dc0abc3,2023/12/3,Unified,Games,17211511,3102237,0.219872,429.14,429.14,,551755,479129,6.59721,4742592,India,$0.00 ,Hypercasual,Fashion / Aesthetics / Hair,Simulation,N/A
Brain Who? Tricky Riddle Tests,5f37915a9878f8490b1cae4f,Teos Oyun,647e8d8ac0ccfa2e3b3cf4e5,2023/12/3,Unified,Games,14867776,-29112173,-0.661942,936935.94,456321.53,0.949455,98848,-236678,-0.705394,196394,India,$0.02 ,2D Cartoon,Hypercasual,Puzzle,Modern
Little Princess: Fashion Game,65a1fb437a8c6423e94a49e1,kiwilab,56a58970e55627adeb000b16,2023/12/3,Unified,Games,14778008,14778008,,3483.4,3483.4,,134611,134611,,278061,India,$0.00 ,2D Anime,Fashion / Aesthetics / Hair,Lifestyle,N/A
All in Hole: Black Hole Games,649172466cb0390387c043a3,Homa,5aa808e60343f831cb01ec03,2023/12/3,Unified,Games,13871107,13860607,1320.05781,77942008.15,77942008.15,,211690,211602,2404.568182,273607,US,$5.61 ,Hypercasual,Hypercasual,Arcade,N/A
Melon Maker : Fruit Game,6548c0ab33c4d64a39d02fde,Superbox,6504c2d545535c4ee6127755,2023/12/3,Unified,Games,13543480,13228270,41.96653,56832.56,56724.13,523.140552,316721,315675,301.792543,359251,South Korea,$0.00 ,2D Cartoon,Bubbles / Tiles / Colors,Puzzle,N/A
HATSUNE MIKU: COLORFUL STAGE!,6180f793f5de045560ea9725,Sega,5628901d02ac648b28000407,2023/12/3,Unified,Games,12751786,-2697026,-0.174578,172428284.6,-101810898.7,-0.371249,1805500,-779983,-0.301678,5368521,Japan,$16.18 ,3D Anime,Idol,Arcade,Modern
Tangle Rope 3D: Untie Master,64c2590b73f76b5ca2d8f5a9,Sonat Game,5978113a160fde53f20092de,2023/12/3,Unified,Games,12720756,11023861,6.49649,2289089.41,2284851.2,539.107595,301543,291537,29.136218,363238,US,$0.16 ,2D Cartoon,Hypercasual,Puzzle,N/A
Coffee Break - Cafe Simulation,6352832a1806867d46423b8b,Supercent,60c922dc49b48258e3a558c8,2023/12/3,Unified,Games,12249796,1147472,0.103354,54734.53,-37374.98,-0.405767,499188,313826,1.693044,399258,India,$0.00 ,Hypercasual,Cooking / Food,Simulation,Modern
Find N Seek: Spy Hidden Object,6534023ead4adb1cae8f2a9d,Joymaster Studio,6525af28ead1220e96d8c834,2023/12/3,Unified,Games,11465007,10938086,20.758493,1680.51,1680.51,,281274,279396,148.773163,241776,US,$0.00 ,2D Cartoon,Spot The Difference,Puzzle,N/A
Moy 6 the Virtual Pet Game,5bab175d249f1f24810845dd,Frojo Apps,55fcb3cc8ac350db5503dcad,2023/12/3,Unified,Games,11240556,1601180,0.166108,0,0,,58581,-6508,-0.099986,1261802,Brazil,$0.00 ,2D Cartoon,Chibi Creature,Lifestyle,Cartoon Fantasy
Goods Sort -Triple Busters 3D,639b821ab3ae277aeb6b4a17,Clap Palms,638ca1a0e69e3b76be6b986d,2023/12/3,Unified,Games,11013879,8380464,3.182356,14182931.89,13302681.34,15.112381,470913,429376,10.337193,17362,US,$1.10 ,Hypercasual,Hypercasual,Puzzle,N/A
BonBon Life World Make Stories,64b62660c5ff012450c30e8a,BonBonGame,62f403b451051232a791e014,2023/12/3,Unified,Games,10356540,10356540,,0,0,,162537,162537,,214587,Indonesia,$0.00 ,2D Cartoon,Decoration,Lifestyle,Cartoon Fantasy
Lovely Cat World : Avatar Life,65fb98fd4e1bbd3d3eec9283,Kitten Doll,6669fab2574c02a549c1e354,2023/12/3,Unified,Games,10165831,10165831,,73828.13,73828.13,,184827,184827,,412837,Indonesia,$0.01 ,2D Cartoon,Animal - Cat,Simulation,Cartoon Fantasy
